"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 09 12:35:34 GMT 2023","Tue May 09 12:35:36 GMT 2023","2572","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveDesignInspirationBlogToAFile","TC25 - Save Design Inspiration content","Save Design Inspiration content to a file"
"passed","Tue May 09 12:35:30 GMT 2023","Tue May 09 12:35:31 GMT 2023","1420","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveAboutRoxoContentToAFile","TC24 - Save Roxo content","Save Roxo content to a file"
"passed","Tue May 09 12:35:11 GMT 2023","Tue May 09 12:35:12 GMT 2023","1263","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","performRegistrationTest","TC04 - New user registration","Perform Registration for new user"
"passed","Tue May 09 12:35:23 GMT 2023","Tue May 09 12:35:27 GMT 2023","3297","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","collectAllProjectName","TC19 - Collect all projects","Going over multiple page list and collect project names"
"passed","Tue May 09 12:35:50 GMT 2023","Tue May 09 12:35:50 GMT 2023","845","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","acceptTermsAndConditions","TC03 - Accept and Validate Terms and Conditions PopUp window","Accept Terms and Conditions"
"passed","Tue May 09 12:35:20 GMT 2023","Tue May 09 12:35:21 GMT 2023","1219","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","membersBusinessCardTest","TC22 - Team members' business card validation","Team members business card checking"
"passed","Tue May 09 12:35:06 GMT 2023","Tue May 09 12:35:08 GMT 2023","2203","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","performRegistrationTest2","TC05 - New user registration with login","Perform Registration for new user and login with"
"failed","Tue May 09 12:35:53 GMT 2023","Tue May 09 12:35:56 GMT 2023","2919","","com.codecool.vizsgaremek.functions.NewDataEntryTest","","com.codecool.vizsgaremek.functions.NewDataEntryTest","sendMessage","TC17 - Message sending test with valid inputs","Message sending throughout the contact form"
"failed","Tue May 09 12:35:10 GMT 2023","Tue May 09 12:35:11 GMT 2023","1235","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithEmptyInputFields","TC07 - New user registration without empty input fields","Perform Registration with empty input fields"
"passed","Tue May 09 12:35:59 GMT 2023","Tue May 09 12:36:00 GMT 2023","1014","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithoutGivenPassword","TC10 - Login without password","Perform login with empty password input field"
"passed","Tue May 09 12:35:27 GMT 2023","Tue May 09 12:35:30 GMT 2023","3112","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","collectAllBlogTitle","TC20 - Collect all blog titles","Going over multiple page list and collect blog titles"
"passed","Tue May 09 12:35:36 GMT 2023","Tue May 09 12:35:39 GMT 2023","3299","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","editAccountMultipleTimesTest","TC27 - Multiple edit user account","Edit user account multiple times"
"passed","Tue May 09 12:36:00 GMT 2023","Tue May 09 12:36:01 GMT 2023","1059","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithWrongPassword","TC12 - Login with wrong password","Perform login with wrong password"
"passed","Tue May 09 12:35:22 GMT 2023","Tue May 09 12:35:23 GMT 2023","979","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","listExpertises","TC23 - List expertises","List expertises"
"passed","Tue May 09 12:35:17 GMT 2023","Tue May 09 12:35:20 GMT 2023","2870","","com.codecool.vizsgaremek.functions.DeleteDataTest","","com.codecool.vizsgaremek.functions.DeleteDataTest","performDeleteAccount","TC16 - Delete user account","Delete user account"
"passed","Tue May 09 12:35:56 GMT 2023","Tue May 09 12:35:58 GMT 2023","1740","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLogout","TC13 - Perform logout","Perform successful logout"
"passed","Tue May 09 12:36:01 GMT 2023","Tue May 09 12:36:02 GMT 2023","1034","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithMisspelledUsername","TC11 - Login with misspelled username","Perform login with misspelled username"
"failed","Tue May 09 12:35:50 GMT 2023","Tue May 09 12:35:53 GMT 2023","2193","","com.codecool.vizsgaremek.functions.NewDataEntryTest","","com.codecool.vizsgaremek.functions.NewDataEntryTest","sendMessageWithInvalidEmail","TC18 - Message sending test with invalid email","Message sending throughout the contact form with invalid email"
"failed","Tue May 09 12:35:08 GMT 2023","Tue May 09 12:35:10 GMT 2023","1336","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithoutPassword","TC06 - New user registration without password given","Perform Registration without password given"
"passed","Tue May 09 12:34:57 GMT 2023","Tue May 09 12:35:06 GMT 2023","9094","","com.codecool.vizsgaremek.functions.DataModificationTest","","com.codecool.vizsgaremek.functions.DataModificationTest","editAccountTest","TC15 - Edit user account","Edit user account"
"passed","Tue May 09 12:35:21 GMT 2023","Tue May 09 12:35:22 GMT 2023","960","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","listTeamMembers","TC21 - List team members","List team members"
"passed","Tue May 09 12:35:56 GMT 2023","Tue May 09 12:35:56 GMT 2023","659","","com.codecool.vizsgaremek.functions.BasicTest","","com.codecool.vizsgaremek.functions.BasicTest","arriveCorrectUrl","TC01 - Arrive correct URL","Arrive at the correct URL"
"passed","Tue May 09 12:35:12 GMT 2023","Tue May 09 12:35:16 GMT 2023","3363","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","multipleRegistrationFromJsonFile","TC08 - Multiple registration from Json file","Perform multiple registration from Json file"
"passed","Tue May 09 12:35:49 GMT 2023","Tue May 09 12:35:50 GMT 2023","652","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","displayTermsAndConditionsPopUp","TC02 - Terms and Conditions PopUp window is displayed","Terms and Conditions pop up window is displayed"
"passed","Tue May 09 12:35:31 GMT 2023","Tue May 09 12:35:34 GMT 2023","2337","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveKioTapeBrandPortfolioToAFile","TC26 - Save Kio Tape Brand content","Save Kio Tape Brand content to a file"
"failed","Tue May 09 12:35:39 GMT 2023","Tue May 09 12:35:49 GMT 2023","9430","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","sendMessageMultipleTimes","TC28 - Message sending test from Json file multiple times","Message sending throughout the contact form multiple times"
"passed","Tue May 09 12:35:58 GMT 2023","Tue May 09 12:35:59 GMT 2023","1338","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithExistedUser","TC09 - Existed user login","Perform Login with already existed user"
"passed","Tue May 09 12:35:16 GMT 2023","Tue May 09 12:35:17 GMT 2023","1637","","com.codecool.vizsgaremek.functions.MenuDisplayTest","","com.codecool.vizsgaremek.functions.MenuDisplayTest","testMenu","TC14 - Menu display validation","The correct menu is displayed"
