"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 01 22:42:18 GMT 2023","Mon May 01 22:42:19 GMT 2023","204","","com.codecool.vizsgaremek.pages.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.pages.RepeatedAndSequentialDataEntriesTest","editAccountMultipleTimesTest","Multiple edit user account","Edit user account multiple times"
"broken","Mon May 01 22:42:20 GMT 2023","Mon May 01 22:42:20 GMT 2023","204","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithoutGivenPassword","Login without password","Perform login with empty password input field"
"broken","Mon May 01 22:42:21 GMT 2023","Mon May 01 22:42:21 GMT 2023","305","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginTest","Existed user login","Perform Login with already existed user"
"broken","Mon May 01 22:42:20 GMT 2023","Mon May 01 22:42:20 GMT 2023","205","","com.codecool.vizsgaremek.pages.NewDataEntryTest","","com.codecool.vizsgaremek.pages.NewDataEntryTest","sendMessage","Message sending test","Message sending throughout the contact form"
"broken","Mon May 01 22:42:16 GMT 2023","Mon May 01 22:42:16 GMT 2023","206","","com.codecool.vizsgaremek.pages.RegistrationTest","","com.codecool.vizsgaremek.pages.RegistrationTest","performRegistrationTest","New user registration","Perform Registration for new user"
"broken","Mon May 01 22:42:15 GMT 2023","Mon May 01 22:42:15 GMT 2023","214","","com.codecool.vizsgaremek.pages.DataModificationTest","","com.codecool.vizsgaremek.pages.DataModificationTest","editAccountWithRandomData","Random account edit from json file","Edit user account with random data from json file"
"broken","Mon May 01 22:42:21 GMT 2023","Mon May 01 22:42:21 GMT 2023","204","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithMisspelledUsername","Login with misspelled username","Perform login with misspelled username"
"broken","Mon May 01 22:42:20 GMT 2023","Mon May 01 22:42:20 GMT 2023","192","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLogout","Perform logout","Perform successful logout"
"broken","Mon May 01 22:42:19 GMT 2023","Mon May 01 22:42:19 GMT 2023","204","","com.codecool.vizsgaremek.pages.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.pages.RepeatedAndSequentialDataEntriesTest","sendMessageMultipleTimes","Message sending test from Json file multiple times","Message sending throughout the contact form multiple times"
"broken","Mon May 01 22:42:18 GMT 2023","Mon May 01 22:42:18 GMT 2023","255","","com.codecool.vizsgaremek.pages.SaveTest","","com.codecool.vizsgaremek.pages.SaveTest","saveKioTapeBrandPortfolioToAFile","Save Kio Tape Brand content","Save Kio Tape Brand content to a file"
