"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 12:16:50 GMT 2023","Tue Apr 11 12:16:51 GMT 2023","1135","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLogout","Perform logout","Perform successful logout"
"passed","Tue Apr 11 12:16:52 GMT 2023","Tue Apr 11 12:16:53 GMT 2023","817","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithMisspelledUsername","Login with misspelled username","Perform login with misspelled username"
"passed","Tue Apr 11 12:16:48 GMT 2023","Tue Apr 11 12:16:49 GMT 2023","584","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","displayTermsAndConditionsPopUp","Terms and Conditions PopUp window is displayed","Terms and Conditions pop up window is displayed"
"passed","Tue Apr 11 12:16:52 GMT 2023","Tue Apr 11 12:16:52 GMT 2023","807","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithWrongPassword","Login with wrong password","Perform login with wrong password"
"passed","Tue Apr 11 12:16:44 GMT 2023","Tue Apr 11 12:16:47 GMT 2023","3349","","com.codecool.vizsgaremek.pages.RegistrationTest","","com.codecool.vizsgaremek.pages.RegistrationTest","performRegistrationTest2","New user registration with login","Perform Registration for new user and login with"
"passed","Tue Apr 11 12:16:53 GMT 2023","Tue Apr 11 12:16:54 GMT 2023","1028","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginTest","Existed user login","Perform Login with already existed user"
"passed","Tue Apr 11 12:16:47 GMT 2023","Tue Apr 11 12:16:48 GMT 2023","1022","","com.codecool.vizsgaremek.pages.RegistrationTest","","com.codecool.vizsgaremek.pages.RegistrationTest","performRegistrationTest","New user registration","Perform Registration for new user"
"passed","Tue Apr 11 12:16:49 GMT 2023","Tue Apr 11 12:16:50 GMT 2023","680","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","acceptTermsAndConditions","Accept and Validate Terms and Conditions PopUp window","Accept Terms and Conditions"
"passed","Tue Apr 11 12:16:51 GMT 2023","Tue Apr 11 12:16:52 GMT 2023","806","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithoutGivenPassword","Login without password","Perform login with empty password input field"
"passed","Tue Apr 11 12:16:27 GMT 2023","Tue Apr 11 12:16:44 GMT 2023","16662","","com.codecool.vizsgaremek.pages.BaseTest","","com.codecool.vizsgaremek.pages.BaseTest","arriveCorrectUrl","Arrive correct URL","Arrive at the correct URL"
