"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login and logout","A user perform successful logout","0","0","1","0","0"
"","Login and logout","Already registered user can not login with misspelled username","0","0","1","0","0"
"","Terms And Conditions","Popup window of Terms and Conditions","0","0","2","0","0"
"","Login and logout","Already registered user can not login with wrong password","0","0","1","0","0"
"","Registration","A newly registered user perform successful login","0","0","1","0","0"
"","Login and logout","Already registered user perform successful login","0","0","1","0","0"
"","Registration","A new user accept terms and conditions and complete a successful registration","0","0","1","0","0"
"","Login and logout","Already registered user can not login without password","0","0","1","0","0"
"","Base test","The user is navigate to the correct URL","0","0","1","0","0"
