"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 15:58:16 GMT 2023","Sun May 07 15:58:17 GMT 2023","872","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","displayTermsAndConditionsPopUp","TC02 - Terms and Conditions PopUp window is displayed","Terms and Conditions pop up window is displayed"
"passed","Sun May 07 15:57:47 GMT 2023","Sun May 07 15:57:48 GMT 2023","1065","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","performRegistrationTest","TC04 - New user registration","Perform Registration for new user"
"passed","Sun May 07 15:58:26 GMT 2023","Sun May 07 15:58:27 GMT 2023","849","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithWrongPassword","TC12 - Login with wrong password","Perform login with wrong password"
"passed","Sun May 07 15:58:02 GMT 2023","Sun May 07 15:58:03 GMT 2023","1114","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveAboutRoxoContentToAFile","TC24 - Save Roxo content","Save Roxo content to a file"
"failed","Sun May 07 15:58:08 GMT 2023","Sun May 07 15:58:16 GMT 2023","7691","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","sendMessageMultipleTimes","TC28 - Message sending test from Json file multiple times","Message sending throughout the contact form multiple times"
"passed","Sun May 07 15:57:52 GMT 2023","Sun May 07 15:57:54 GMT 2023","1742","","com.codecool.vizsgaremek.functions.DeleteDataTest","","com.codecool.vizsgaremek.functions.DeleteDataTest","performDeleteAccount","TC16 - Delete user account","Delete user account"
"passed","Sun May 07 15:57:43 GMT 2023","Sun May 07 15:57:45 GMT 2023","1812","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","performRegistrationTest2","TC05 - New user registration with login","Perform Registration for new user and login with"
"passed","Sun May 07 15:58:17 GMT 2023","Sun May 07 15:58:18 GMT 2023","700","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","acceptTermsAndConditions","TC03 - Accept and Validate Terms and Conditions PopUp window","Accept Terms and Conditions"
"failed","Sun May 07 15:57:46 GMT 2023","Sun May 07 15:57:47 GMT 2023","1013","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithEmptyInputFields","TC07 - New user registration without empty input fields","Perform Registration with empty input fields"
"passed","Sun May 07 15:57:55 GMT 2023","Sun May 07 15:57:56 GMT 2023","747","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","listTeamMembers","TC21 - List team members","List team members"
"passed","Sun May 07 15:57:56 GMT 2023","Sun May 07 15:57:57 GMT 2023","773","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","listExpertises","TC23 - List expertises","List expertises"
"failed","Sun May 07 15:57:45 GMT 2023","Sun May 07 15:57:46 GMT 2023","1095","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithoutPassword","TC06 - New user registration without password given","Perform Registration without password given"
"passed","Sun May 07 15:58:06 GMT 2023","Sun May 07 15:58:08 GMT 2023","2589","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","editAccountMultipleTimesTest","TC27 - Multiple edit user account","Edit user account multiple times"
