"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 15:40:47 GMT 2023","Sun May 07 15:40:48 GMT 2023","815","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","listTeamMembers","TC21 - List team members","List team members"
"passed","Sun May 07 15:40:55 GMT 2023","Sun May 07 15:40:56 GMT 2023","1283","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveKioTapeBrandPortfolioToAFile","TC26 - Save Kio Tape Brand content","Save Kio Tape Brand content to a file"
"failed","Sun May 07 15:41:13 GMT 2023","Sun May 07 15:41:15 GMT 2023","2203","","com.codecool.vizsgaremek.functions.NewDataEntryTest","","com.codecool.vizsgaremek.functions.NewDataEntryTest","sendMessage","TC17 - Message sending test","Message sending throughout the contact form"
"passed","Sun May 07 15:40:27 GMT 2023","Sun May 07 15:40:32 GMT 2023","5046","","com.codecool.vizsgaremek.functions.DataModificationTest","","com.codecool.vizsgaremek.functions.DataModificationTest","editAccountTest","TC15 - Edit user account","Edit user account"
"passed","Sun May 07 15:40:38 GMT 2023","Sun May 07 15:40:39 GMT 2023","1166","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","performRegistrationTest","TC04 - New user registration","Perform Registration for new user"
"passed","Sun May 07 15:40:54 GMT 2023","Sun May 07 15:40:55 GMT 2023","1227","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveAboutRoxoContentToAFile","TC24 - Save Roxo content","Save Roxo content to a file"
"passed","Sun May 07 15:40:33 GMT 2023","Sun May 07 15:40:34 GMT 2023","1328","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithoutGivenPassword","TC10 - Login without password","Perform login with empty password input field"
"passed","Sun May 07 15:40:44 GMT 2023","Sun May 07 15:40:46 GMT 2023","2046","","com.codecool.vizsgaremek.functions.DeleteDataTest","","com.codecool.vizsgaremek.functions.DeleteDataTest","performDeleteAccount","TC16 - Delete user account","Delete user account"
"failed","Sun May 07 15:40:37 GMT 2023","Sun May 07 15:40:38 GMT 2023","1224","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithEmptyInputFields","TC 07 - New user registration without empty input fields","Perform Registration with empty input fields"
"passed","Sun May 07 15:40:39 GMT 2023","Sun May 07 15:40:43 GMT 2023","3280","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","multipleRegistrationFromJsonFile","TC08 - Multiple registration from Json file","Perform multiple registration from Json file"
"passed","Sun May 07 15:41:09 GMT 2023","Sun May 07 15:41:10 GMT 2023","708","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","displayTermsAndConditionsPopUp","TC02 - Terms and Conditions PopUp window is displayed","Terms and Conditions pop up window is displayed"
"passed","Sun May 07 15:40:34 GMT 2023","Sun May 07 15:40:36 GMT 2023","1356","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithWrongPassword","TC12 - Login with wrong password","Perform login with wrong password"
"passed","Sun May 07 15:40:36 GMT 2023","Sun May 07 15:40:37 GMT 2023","1288","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithMisspelledUsername","TC11 - Login with misspelled username","Perform login with misspelled username"
"passed","Sun May 07 15:40:46 GMT 2023","Sun May 07 15:40:47 GMT 2023","1056","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","membersBusinessCardTest","TC22 - Team members' business card validation","Team members business card checking"
"failed","Sun May 07 15:41:01 GMT 2023","Sun May 07 15:41:09 GMT 2023","8785","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","sendMessageMultipleTimes","TC28 - Message sending test from Json file multiple times","Message sending throughout the contact form multiple times"
"passed","Sun May 07 15:40:49 GMT 2023","Sun May 07 15:40:51 GMT 2023","2417","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","collectAllProjectName","TC19 - Collect all projects","Going over multiple page list and collect project names"
"passed","Sun May 07 15:40:31 GMT 2023","Sun May 07 15:40:33 GMT 2023","1931","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithExistedUser","TC 09 - Existed user login","Perform Login with already existed user"
"passed","Sun May 07 15:40:56 GMT 2023","Sun May 07 15:40:58 GMT 2023","1266","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveDesignInspirationBlogToAFile","TC25 - Save Design Inspiration content","Save Design Inspiration content to a file"
"passed","Sun May 07 15:40:58 GMT 2023","Sun May 07 15:41:01 GMT 2023","3073","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","editAccountMultipleTimesTest","TC27 - Multiple edit user account","Edit user account multiple times"
"passed","Sun May 07 15:40:43 GMT 2023","Sun May 07 15:40:44 GMT 2023","1170","","com.codecool.vizsgaremek.functions.MenuDisplayTest","","com.codecool.vizsgaremek.functions.MenuDisplayTest","testMenu","TC14 - Menu display validation","The correct menu is displayed"
"failed","Sun May 07 15:40:35 GMT 2023","Sun May 07 15:40:37 GMT 2023","1618","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithoutPassword","TC06 - New user registration without password given","Perform Registration without password given"
"passed","Sun May 07 15:40:48 GMT 2023","Sun May 07 15:40:49 GMT 2023","909","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","listExpertises","TC23 - List expertises","List expertises"
"passed","Sun May 07 15:41:15 GMT 2023","Sun May 07 15:41:16 GMT 2023","662","","com.codecool.vizsgaremek.functions.BasicTest","","com.codecool.vizsgaremek.functions.BasicTest","arriveCorrectUrl","TC01 - Arrive correct URL","Arrive at the correct URL"
"failed","Sun May 07 15:41:11 GMT 2023","Sun May 07 15:41:13 GMT 2023","1960","","com.codecool.vizsgaremek.functions.NewDataEntryTest","","com.codecool.vizsgaremek.functions.NewDataEntryTest","sendMessageWithInvalidEmail","TC18 - Message sending test with invalid email","Message sending throughout the contact form with invalid email"
"passed","Sun May 07 15:40:27 GMT 2023","Sun May 07 15:40:31 GMT 2023","3995","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLogout","TC13 - Perform logout","Perform successful logout"
"passed","Sun May 07 15:40:32 GMT 2023","Sun May 07 15:40:35 GMT 2023","2981","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","performRegistrationTest2","TC05 - New user registration with login","Perform Registration for new user and login with"
"passed","Sun May 07 15:40:51 GMT 2023","Sun May 07 15:40:54 GMT 2023","2494","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","collectAllBlogTitle","TC20 - Collect all blog titles","Going over multiple page list and collect blog titles"
"passed","Sun May 07 15:41:10 GMT 2023","Sun May 07 15:41:11 GMT 2023","841","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","acceptTermsAndConditions","TC03 - Accept and Validate Terms and Conditions PopUp window","Accept Terms and Conditions"
