"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 14:30:06 GMT 2023","Tue Apr 11 14:30:07 GMT 2023","859","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithMisspelledUsername","Login with misspelled username","Perform login with misspelled username"
"passed","Tue Apr 11 14:30:07 GMT 2023","Tue Apr 11 14:30:08 GMT 2023","1144","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginTest","Existed user login","Perform Login with already existed user"
"passed","Tue Apr 11 14:30:14 GMT 2023","Tue Apr 11 14:30:16 GMT 2023","1705","","com.codecool.vizsgaremek.pages.EditAccountTest","","com.codecool.vizsgaremek.pages.EditAccountTest","editAccountMultipleTimesTest","editAccountMultipleTimesTest()",""
"passed","Tue Apr 11 14:30:02 GMT 2023","Tue Apr 11 14:30:02 GMT 2023","629","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","displayTermsAndConditionsPopUp","Terms and Conditions PopUp window is displayed","Terms and Conditions pop up window is displayed"
"passed","Tue Apr 11 14:30:03 GMT 2023","Tue Apr 11 14:30:04 GMT 2023","1168","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLogout","Perform logout","Perform successful logout"
"passed","Tue Apr 11 14:30:04 GMT 2023","Tue Apr 11 14:30:05 GMT 2023","878","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithoutGivenPassword","Login without password","Perform login with empty password input field"
"passed","Tue Apr 11 14:29:59 GMT 2023","Tue Apr 11 14:30:01 GMT 2023","1172","","com.codecool.vizsgaremek.pages.ListDataTest","","com.codecool.vizsgaremek.pages.ListDataTest","listTeamMembers","List team members","List team members"
"passed","Tue Apr 11 14:29:56 GMT 2023","Tue Apr 11 14:29:58 GMT 2023","1758","","com.codecool.vizsgaremek.pages.RegistrationTest","","com.codecool.vizsgaremek.pages.RegistrationTest","performRegistrationTest2","New user registration with login","Perform Registration for new user and login with"
"passed","Tue Apr 11 14:30:10 GMT 2023","Tue Apr 11 14:30:13 GMT 2023","2418","","com.codecool.vizsgaremek.pages.GoingOverMultiplePageListTest","","com.codecool.vizsgaremek.pages.GoingOverMultiplePageListTest","collectAllBlogTitle","collectAllBlogTitle()",""
"passed","Tue Apr 11 14:30:01 GMT 2023","Tue Apr 11 14:30:02 GMT 2023","1137","","com.codecool.vizsgaremek.pages.ListDataTest","","com.codecool.vizsgaremek.pages.ListDataTest","listExpertises","List expertises","List expertises"
"passed","Tue Apr 11 14:29:56 GMT 2023","Tue Apr 11 14:29:56 GMT 2023","616","","com.codecool.vizsgaremek.pages.BaseTest","","com.codecool.vizsgaremek.pages.BaseTest","arriveCorrectUrl","Arrive correct URL","Arrive at the correct URL"
"passed","Tue Apr 11 14:30:02 GMT 2023","Tue Apr 11 14:30:03 GMT 2023","734","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","acceptTermsAndConditions","Accept and Validate Terms and Conditions PopUp window","Accept Terms and Conditions"
"passed","Tue Apr 11 14:30:18 GMT 2023","Tue Apr 11 14:30:20 GMT 2023","1393","","com.codecool.vizsgaremek.pages.SaveTest","","com.codecool.vizsgaremek.pages.SaveTest","saveDesignInspirationBlogToAFile","saveDesignInspirationBlogToAFile()",""
"passed","Tue Apr 11 14:30:17 GMT 2023","Tue Apr 11 14:30:18 GMT 2023","1167","","com.codecool.vizsgaremek.pages.SaveTest","","com.codecool.vizsgaremek.pages.SaveTest","saveKioTapeBrandPortfolioToAFile","saveKioTapeBrandPortfolioToAFile()",""
"failed","Tue Apr 11 14:29:54 GMT 2023","Tue Apr 11 14:29:56 GMT 2023","2037","","com.codecool.vizsgaremek.pages.ContactFormTest","","com.codecool.vizsgaremek.pages.ContactFormTest","sendMessage","sendMessage()",""
"passed","Tue Apr 11 14:29:47 GMT 2023","Tue Apr 11 14:29:54 GMT 2023","6232","","com.codecool.vizsgaremek.pages.DeleteAccountTest","","com.codecool.vizsgaremek.pages.DeleteAccountTest","performDeleteAccount","performDeleteAccount()",""
"passed","Tue Apr 11 14:30:13 GMT 2023","Tue Apr 11 14:30:14 GMT 2023","1464","","com.codecool.vizsgaremek.pages.EditAccountTest","","com.codecool.vizsgaremek.pages.EditAccountTest","editAccountTest","editAccountTest()",""
"passed","Tue Apr 11 14:30:08 GMT 2023","Tue Apr 11 14:30:10 GMT 2023","2283","","com.codecool.vizsgaremek.pages.GoingOverMultiplePageListTest","","com.codecool.vizsgaremek.pages.GoingOverMultiplePageListTest","collectAllProjectName","collectAllProjectName()",""
"passed","Tue Apr 11 14:30:16 GMT 2023","Tue Apr 11 14:30:17 GMT 2023","1034","","com.codecool.vizsgaremek.pages.SaveTest","","com.codecool.vizsgaremek.pages.SaveTest","saveAboutRoxoContentToAFile","saveAboutRoxoContentToAFile()",""
