"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 06 16:06:04 GMT 2023","Thu Apr 06 16:06:06 GMT 2023","1711","","com.codecool.vizsgaremek.pages.BaseTest","","com.codecool.vizsgaremek.pages.BaseTest","arriveCorrectUrl","Arrive correct URL","Arrive at the correct URL"
"broken","Thu Apr 06 16:06:08 GMT 2023","Thu Apr 06 16:06:08 GMT 2023","205","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithMisspelledUsername","Login with misspelled username","Perform login with misspelled username"
"broken","Thu Apr 06 16:06:07 GMT 2023","Thu Apr 06 16:06:07 GMT 2023","208","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLogout","Perform logout","Perform successful logout"
"broken","Thu Apr 06 16:06:06 GMT 2023","Thu Apr 06 16:06:07 GMT 2023","219","","com.codecool.vizsgaremek.pages.RegistrationTest","","com.codecool.vizsgaremek.pages.RegistrationTest","performRegistrationTest","New user registration","Perform Registration for new user"
"broken","Thu Apr 06 16:06:08 GMT 2023","Thu Apr 06 16:06:08 GMT 2023","205","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginTest","Existed user login","Perform Login with already existed user"
"broken","Thu Apr 06 16:06:07 GMT 2023","Thu Apr 06 16:06:07 GMT 2023","208","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithoutGivenPassword","Login without password","Perform login with empty password input field"
"broken","Thu Apr 06 16:06:07 GMT 2023","Thu Apr 06 16:06:07 GMT 2023","206","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","acceptTermsAndConditions","Accept and Validate Terms and Conditions PopUp window","Accept Terms and Conditions"
"broken","Thu Apr 06 16:06:06 GMT 2023","Thu Apr 06 16:06:07 GMT 2023","260","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","displayTermsAndConditionsPopUp","Terms and Conditions PopUp window is displayed","Terms and Conditions pop up window is displayed"
"broken","Thu Apr 06 16:06:04 GMT 2023","Thu Apr 06 16:06:06 GMT 2023","1724","","com.codecool.vizsgaremek.pages.RegistrationTest","","com.codecool.vizsgaremek.pages.RegistrationTest","performRegistrationTest2","New user registration","Perform Registration for new user and login with"
"broken","Thu Apr 06 16:06:07 GMT 2023","Thu Apr 06 16:06:08 GMT 2023","205","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithWrongPassword","Login with wrong password","Perform login with wrong password"
