"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 09 09:33:20 GMT 2023","Tue May 09 09:33:21 GMT 2023","1313","","com.codecool.vizsgaremek.functions.MenuDisplayTest","","com.codecool.vizsgaremek.functions.MenuDisplayTest","testMenu","TC14 - Menu display validation","The correct menu is displayed"
"passed","Tue May 09 09:33:21 GMT 2023","Tue May 09 09:33:24 GMT 2023","2420","","com.codecool.vizsgaremek.functions.DeleteDataTest","","com.codecool.vizsgaremek.functions.DeleteDataTest","performDeleteAccount","TC16 - Delete user account","Delete user account"
"passed","Tue May 09 09:33:54 GMT 2023","Tue May 09 09:33:55 GMT 2023","568","","com.codecool.vizsgaremek.functions.BasicTest","","com.codecool.vizsgaremek.functions.BasicTest","arriveCorrectUrl","TC01 - Arrive correct URL","Arrive at the correct URL"
"failed","Tue May 09 09:33:51 GMT 2023","Tue May 09 09:33:54 GMT 2023","2482","","com.codecool.vizsgaremek.functions.NewDataEntryTest","","com.codecool.vizsgaremek.functions.NewDataEntryTest","sendMessage","TC17 - Message sending test with valid inputs","Message sending throughout the contact form"
"passed","Tue May 09 09:33:32 GMT 2023","Tue May 09 09:33:33 GMT 2023","1129","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveAboutRoxoContentToAFile","TC24 - Save Roxo content","Save Roxo content to a file"
"passed","Tue May 09 09:33:57 GMT 2023","Tue May 09 09:33:58 GMT 2023","837","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithoutGivenPassword","TC10 - Login without password","Perform login with empty password input field"
"failed","Tue May 09 09:33:14 GMT 2023","Tue May 09 09:33:15 GMT 2023","1129","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithoutPassword","TC06 - New user registration without password given","Perform Registration without password given"
"passed","Tue May 09 09:33:17 GMT 2023","Tue May 09 09:33:20 GMT 2023","2845","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","multipleRegistrationFromJsonFile","TC08 - Multiple registration from Json file","Perform multiple registration from Json file"
"passed","Tue May 09 09:33:29 GMT 2023","Tue May 09 09:33:32 GMT 2023","2644","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","collectAllBlogTitle","TC20 - Collect all blog titles","Going over multiple page list and collect blog titles"
"passed","Tue May 09 09:33:09 GMT 2023","Tue May 09 09:33:12 GMT 2023","2838","","com.codecool.vizsgaremek.functions.DataModificationTest","","com.codecool.vizsgaremek.functions.DataModificationTest","editAccountTest","TC15 - Edit user account","Edit user account"
"passed","Tue May 09 09:33:27 GMT 2023","Tue May 09 09:33:29 GMT 2023","2784","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","collectAllProjectName","TC19 - Collect all projects","Going over multiple page list and collect project names"
"failed","Tue May 09 09:33:50 GMT 2023","Tue May 09 09:33:51 GMT 2023","1789","","com.codecool.vizsgaremek.functions.NewDataEntryTest","","com.codecool.vizsgaremek.functions.NewDataEntryTest","sendMessageWithInvalidEmail","TC18 - Message sending test with invalid email","Message sending throughout the contact form with invalid email"
"passed","Tue May 09 09:33:55 GMT 2023","Tue May 09 09:33:56 GMT 2023","1137","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLogout","TC13 - Perform logout","Perform successful logout"
"failed","Tue May 09 09:33:40 GMT 2023","Tue May 09 09:33:48 GMT 2023","8430","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","sendMessageMultipleTimes","TC28 - Message sending test from Json file multiple times","Message sending throughout the contact form multiple times"
"passed","Tue May 09 09:33:26 GMT 2023","Tue May 09 09:33:27 GMT 2023","801","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","listExpertises","TC23 - List expertises","List expertises"
"passed","Tue May 09 09:33:56 GMT 2023","Tue May 09 09:33:57 GMT 2023","1138","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithExistedUser","TC09 - Existed user login","Perform Login with already existed user"
