"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 07 20:24:05 GMT 2023","Fri Apr 07 20:24:06 GMT 2023","919","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLogout","Perform logout","Perform successful logout"
"passed","Fri Apr 07 20:24:07 GMT 2023","Fri Apr 07 20:24:08 GMT 2023","805","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithWrongPassword","Login with wrong password","Perform login with wrong password"
"passed","Fri Apr 07 20:24:02 GMT 2023","Fri Apr 07 20:24:03 GMT 2023","1678","","com.codecool.vizsgaremek.pages.RegistrationTest","","com.codecool.vizsgaremek.pages.RegistrationTest","performRegistrationTest2","New user registration with login","Perform Registration for new user and login with"
"passed","Fri Apr 07 20:24:09 GMT 2023","Fri Apr 07 20:24:10 GMT 2023","1010","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginTest","Existed user login","Perform Login with already existed user"
"passed","Fri Apr 07 20:24:06 GMT 2023","Fri Apr 07 20:24:07 GMT 2023","783","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithoutGivenPassword","Login without password","Perform login with empty password input field"
"passed","Fri Apr 07 20:24:04 GMT 2023","Fri Apr 07 20:24:05 GMT 2023","581","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","displayTermsAndConditionsPopUp","Terms and Conditions PopUp window is displayed","Terms and Conditions pop up window is displayed"
"passed","Fri Apr 07 20:24:03 GMT 2023","Fri Apr 07 20:24:04 GMT 2023","869","","com.codecool.vizsgaremek.pages.RegistrationTest","","com.codecool.vizsgaremek.pages.RegistrationTest","performRegistrationTest","New user registration","Perform Registration for new user"
"passed","Fri Apr 07 20:24:08 GMT 2023","Fri Apr 07 20:24:09 GMT 2023","817","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithMisspelledUsername","Login with misspelled username","Perform login with misspelled username"
"passed","Fri Apr 07 20:24:00 GMT 2023","Fri Apr 07 20:24:01 GMT 2023","1536","","com.codecool.vizsgaremek.pages.BaseTest","","com.codecool.vizsgaremek.pages.BaseTest","arriveCorrectUrl","Arrive correct URL","Arrive at the correct URL"
"passed","Fri Apr 07 20:24:05 GMT 2023","Fri Apr 07 20:24:05 GMT 2023","691","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","acceptTermsAndConditions","Accept and Validate Terms and Conditions PopUp window","Accept Terms and Conditions"
