"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 16:19:54 GMT 2023","Thu Apr 06 16:19:55 GMT 2023","902","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithoutGivenPassword","Login without password","Perform login with empty password input field"
"passed","Thu Apr 06 16:19:39 GMT 2023","Thu Apr 06 16:19:47 GMT 2023","8239","","com.codecool.vizsgaremek.pages.BaseTest","","com.codecool.vizsgaremek.pages.BaseTest","arriveCorrectUrl","Arrive correct URL","Arrive at the correct URL"
"passed","Thu Apr 06 16:19:51 GMT 2023","Thu Apr 06 16:19:52 GMT 2023","654","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","displayTermsAndConditionsPopUp","Terms and Conditions PopUp window is displayed","Terms and Conditions pop up window is displayed"
"passed","Thu Apr 06 16:19:55 GMT 2023","Thu Apr 06 16:19:56 GMT 2023","937","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithWrongPassword","Login with wrong password","Perform login with wrong password"
"passed","Thu Apr 06 16:19:56 GMT 2023","Thu Apr 06 16:19:56 GMT 2023","916","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginWithMisspelledUsername","Login with misspelled username","Perform login with misspelled username"
"passed","Thu Apr 06 16:19:52 GMT 2023","Thu Apr 06 16:19:53 GMT 2023","745","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","acceptTermsAndConditions","Accept and Validate Terms and Conditions PopUp window","Accept Terms and Conditions"
"passed","Thu Apr 06 16:19:50 GMT 2023","Thu Apr 06 16:19:51 GMT 2023","986","","com.codecool.vizsgaremek.pages.RegistrationTest","","com.codecool.vizsgaremek.pages.RegistrationTest","performRegistrationTest","New user registration","Perform Registration for new user"
"passed","Thu Apr 06 16:19:48 GMT 2023","Thu Apr 06 16:19:50 GMT 2023","2383","","com.codecool.vizsgaremek.pages.RegistrationTest","","com.codecool.vizsgaremek.pages.RegistrationTest","performRegistrationTest2","New user registration","Perform Registration for new user and login with"
"passed","Thu Apr 06 16:19:56 GMT 2023","Thu Apr 06 16:19:58 GMT 2023","1122","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLoginTest","Existed user login","Perform Login with already existed user"
"broken","Thu Apr 06 16:19:53 GMT 2023","Thu Apr 06 16:19:54 GMT 2023","1011","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","","com.codecool.vizsgaremek.pages.LoginAndLogoutTest","performLogout","Perform logout","Perform successful logout"
