"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 19:09:53 GMT 2023","Sun May 07 19:09:57 GMT 2023","4192","","com.codecool.vizsgaremek.functions.DataModificationTest","","com.codecool.vizsgaremek.functions.DataModificationTest","editAccountTest","TC15 - Edit user account","Edit user account"
"passed","Sun May 07 19:10:22 GMT 2023","Sun May 07 19:10:23 GMT 2023","1827","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveDesignInspirationBlogToAFile","TC25 - Save Design Inspiration content","Save Design Inspiration content to a file"
"passed","Sun May 07 19:10:45 GMT 2023","Sun May 07 19:10:46 GMT 2023","1331","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithExistedUser","TC 09 - Existed user login","Perform Login with already existed user"
"passed","Sun May 07 19:10:46 GMT 2023","Sun May 07 19:10:47 GMT 2023","1009","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithoutGivenPassword","TC10 - Login without password","Perform login with empty password input field"
"failed","Sun May 07 19:10:27 GMT 2023","Sun May 07 19:10:37 GMT 2023","9764","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","sendMessageMultipleTimes","TC28 - Message sending test from Json file multiple times","Message sending throughout the contact form multiple times"
"passed","Sun May 07 19:10:10 GMT 2023","Sun May 07 19:10:12 GMT 2023","1323","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","membersBusinessCardTest","TC22 - Team members' business card validation","Team members business card checking"
"passed","Sun May 07 19:10:37 GMT 2023","Sun May 07 19:10:38 GMT 2023","797","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","acceptTermsAndConditions","TC03 - Accept and Validate Terms and Conditions PopUp window","Accept Terms and Conditions"
"passed","Sun May 07 19:10:03 GMT 2023","Sun May 07 19:10:07 GMT 2023","3519","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","multipleRegistrationFromJsonFile","TC08 - Multiple registration from Json file","Perform multiple registration from Json file"
"passed","Sun May 07 19:10:44 GMT 2023","Sun May 07 19:10:45 GMT 2023","1295","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLogout","TC13 - Perform logout","Perform successful logout"
"failed","Sun May 07 19:09:59 GMT 2023","Sun May 07 19:10:01 GMT 2023","1436","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithoutPassword","TC06 - New user registration without password given","Perform Registration without password given"
