"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 09 16:46:01 GMT 2023","Tue May 09 16:46:02 GMT 2023","807","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","acceptTermsAndConditions","TC03 - Accept and Validate Terms and Conditions PopUp window","Accept Terms and Conditions"
"failed","Tue May 09 16:45:52 GMT 2023","Tue May 09 16:46:00 GMT 2023","8297","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","sendMessageMultipleTimes","TC28 - Message sending test from Json file multiple times","Message sending throughout the contact form multiple times"
"passed","Tue May 09 16:45:47 GMT 2023","Tue May 09 16:45:49 GMT 2023","2348","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveDesignInspirationBlogToAFile","TC25 - Save Design Inspiration content","Save Design Inspiration content to a file"
"passed","Tue May 09 16:46:10 GMT 2023","Tue May 09 16:46:11 GMT 2023","948","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithoutGivenPassword","TC10 - Login without password","Perform login with empty password input field"
"passed","Tue May 09 16:45:33 GMT 2023","Tue May 09 16:45:34 GMT 2023","1526","","com.codecool.vizsgaremek.functions.MenuDisplayTest","","com.codecool.vizsgaremek.functions.MenuDisplayTest","testMenu","TC14 - Menu display validation","The correct menu is displayed"
"failed","Tue May 09 16:46:04 GMT 2023","Tue May 09 16:46:07 GMT 2023","2683","","com.codecool.vizsgaremek.functions.NewDataEntryTest","","com.codecool.vizsgaremek.functions.NewDataEntryTest","sendMessage","TC17 - Message sending test with valid inputs","Message sending throughout the contact form"
"passed","Tue May 09 16:46:07 GMT 2023","Tue May 09 16:46:07 GMT 2023","703","","com.codecool.vizsgaremek.functions.BasicTest","","com.codecool.vizsgaremek.functions.BasicTest","arriveCorrectUrl","TC01 - Arrive correct URL","Arrive at the correct URL"
"passed","Tue May 09 16:45:45 GMT 2023","Tue May 09 16:45:47 GMT 2023","2174","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveKioTapeBrandPortfolioToAFile","TC26 - Save Kio Tape Brand content","Save Kio Tape Brand content to a file"
"passed","Tue May 09 16:45:43 GMT 2023","Tue May 09 16:45:45 GMT 2023","1335","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveAboutRoxoContentToAFile","TC24 - Save Roxo content","Save Roxo content to a file"
"failed","Tue May 09 16:45:28 GMT 2023","Tue May 09 16:45:29 GMT 2023","1116","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithEmptyInputFields","TC07 - New user registration without empty input fields","Perform Registration with empty input fields"
"passed","Tue May 09 16:45:16 GMT 2023","Tue May 09 16:45:22 GMT 2023","6004","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","membersBusinessCardTest","TC22 - Team members' business card validation","Team members business card checking"
"passed","Tue May 09 16:45:24 GMT 2023","Tue May 09 16:45:25 GMT 2023","1232","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","listExpertises","TC23 - List expertises","List expertises"
